"Platform";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales"
PCFX;0.0;0.0;0.03;0.0
XB;187.07;60.97;1.38;8.72
PSP;108.99;68.25;76.48;42.19
SNES;61.23;19.04;116.55;3.22
GEN;19.27;5.52;2.67;0.89
TG16;0.0;0.0;0.16;0.0
PC;93.28;139.68;0.17;24.86
SCD;1.0;0.36;0.45;0.05
PSV;16.01;16.21;20.83;8.35
Wii;507.71;268.38;69.35;80.61
NG;0.0;0.0;1.44;0.0
NES;125.94;21.15;98.65;5.31
X360;653.53;283.75;12.18;86.21
"3DO";0.0;0.0;0.1;0.0
DC;5.43;1.69;8.56;0.27
"";0.0;0.0;0.0;0.0
"3DS";78.87;58.52;97.35;12.63
PS;336.51;213.6;139.82;40.91
GBA;187.54;75.25;47.33;7.73
XOne;83.19;45.65;0.34;11.92
SAT;0.72;0.54;32.26;0.07
N64;139.02;41.06;34.22;4.38
DS;390.71;194.65;175.57;60.53
PS3;403.87;344.39;79.74;142.05
PS2;588.25;339.54;139.19;193.49
PS4;96.8;123.7;14.24;43.36
WiiU;38.32;24.23;12.79;6.45
"2600";21.71;1.31;0.0;0.06
GB;114.32;47.82;85.12;8.2
GC;133.46;38.71;21.58;5.18
WS;0.0;0.0;1.42;0.0
GG;0.0;0.0;0.04;0.0
