"Year";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales"
2017;0.0;0.0;0.05;0.0
2020;0.27;0.0;0.0;0.02
1447;0.18;0.14;0.0;0.06
1980;10.59;0.67;0.0;0.12
1981;33.4;1.96;0.0;0.32
1982;26.92;1.65;0.0;0.31
1983;7.96;0.81;8.1;0.14
1984;33.28;2.1;14.27;0.7
0;0.0;0.0;0.0;0.0
1985;33.73;4.74;14.56;0.92
1986;12.5;2.84;19.81;1.93
1987;8.67;1.41;11.63;0.22
1988;23.87;6.59;15.76;0.99
1989;45.15;8.44;18.36;1.5
1990;25.46;7.63;14.88;1.4
1991;12.76;3.95;14.78;0.74
1992;33.87;11.71;28.91;1.65
1993;15.12;4.65;25.33;0.89
1994;28.15;14.88;33.99;2.2
1995;25.2;15.12;45.99;2.67
1996;86.95;47.51;57.44;7.76
1997;94.75;48.32;48.87;9.13
1998;132.2;67.75;50.6;11.33
1999;126.87;63.11;52.72;10.14
2000;101.26;56.96;42.95;12.67
2001;181.33;98.89;41.05;24.09
2002;221.63;110.62;41.77;28.18
2003;194.97;104.19;34.38;26.09
2004;231.48;111.52;42.22;48.43
2005;245.44;123.02;54.55;40.95
2006;263.65;129.41;74.72;54.5
2007;314.58;161.77;61.08;77.95
2008;354.57;185.57;60.47;82.66
2009;339.29;191.87;61.79;74.84
2010;307.18;177.97;59.95;60.32
2011;242.72;168.05;52.88;54.64
2012;157.8;119.6;51.51;38.32
2013;154.84;125.74;47.51;39.79
2014;135.98;127.05;39.7;40.5
2015;105.15;98.8;33.71;30.77
2016;23.02;26.96;13.72;7.8
2014;0.01;0.0;0.0;0.0
